"offerId","categoryL1","categoryL2","categoryL3","categoryL4","categoryL5","categoryPath"
"AA00154","Electronics","Electronics Accessories","Computer Components","USB & FireWire Hubs","Empty","Electronics > Electronics Accessories > Computer Components > USB & FireWire Hubs"
"AA00202","Electronics","Electronics Accessories","Adapters","Audio & Video Cable Adapters & Couplers","Empty","Electronics > Electronics Accessories > Adapters > Audio & Video Cable Adapters & Couplers"
"AA00424","Electronics","Electronics Accessories","Computer Components","USB & FireWire Hubs","Empty","Electronics > Electronics Accessories > Computer Components > USB & FireWire Hubs"
"AA00444","Electronics","Electronics Accessories","Computer Components","USB & FireWire Hubs","Empty","Electronics > Electronics Accessories > Computer Components > USB & FireWire Hubs"
"AA00547","Electronics","Electronics Accessories","Computer Components","USB & FireWire Hubs","Empty","Electronics > Electronics Accessories > Computer Components > USB & FireWire Hubs"
"AA00765","Electronics","Networking","Network Cards & Adapters","Empty","Empty","Electronics > Networking > Network Cards & Adapters"
"AA00782","Electronics","Electronics Accessories","Adapters","Audio & Video Cable Adapters & Couplers","Empty","Electronics > Electronics Accessories > Adapters > Audio & Video Cable Adapters & Couplers"
"AA00783","Electronics","Electronics Accessories","Adapters","Audio & Video Cable Adapters & Couplers","Empty","Electronics > Electronics Accessories > Adapters > Audio & Video Cable Adapters & Couplers"
"AA00784","Electronics","Electronics Accessories","Adapters","Audio & Video Cable Adapters & Couplers","Empty","Electronics > Electronics Accessories > Adapters > Audio & Video Cable Adapters & Couplers"
"AA00822","Electronics","Electronics Accessories","Adapters","Audio & Video Cable Adapters & Couplers","Empty","Electronics > Electronics Accessories > Adapters > Audio & Video Cable Adapters & Couplers"
"AA01031","Furniture","Ottomans","Empty","Empty","Empty","Furniture > Ottomans"
"AA01035","Electronics","Electronics Accessories","Memory","RAM","Empty","Electronics > Electronics Accessories > Memory > RAM"
"AA01058","Furniture","Office Furniture Accessories","Office Chair Accessories","Empty","Empty","Furniture > Office Furniture Accessories > Office Chair Accessories"
"AA01760","Electronics","Electronics Accessories","Computer Components","Storage Devices","Tape Drives","Electronics > Electronics Accessories > Computer Components > Storage Devices > Tape Drives"
"AA01825","Electronics","Electronics Accessories","Computer Components","Storage Devices","Tape Drives","Electronics > Electronics Accessories > Computer Components > Storage Devices > Tape Drives"
"AA02297","Office Supplies","Filing & Organization","CD/DVD Cases & Organizers","Empty","Empty","Office Supplies > Filing & Organization > CD/DVD Cases & Organizers"
"AA03012","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA03234","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA03433","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA03467","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA03571","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA03573","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA03618","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA03621","Luggage & Bags","Backpacks","Empty","Empty","Empty","Luggage & Bags > Backpacks"
"AA05745","Electronics","Electronics Accessories","Cables","Audio & Video Cables","Empty","Electronics > Electronics Accessories > Cables > Audio & Video Cables"
"AA05811","Electronics","Electronics Accessories","Cables","System & Power Cables","Empty","Electronics > Electronics Accessories > Cables > System & Power Cables"
"AA05813","Electronics","Electronics Accessories","Cables","Audio & Video Cables","Empty","Electronics > Electronics Accessories > Cables > Audio & Video Cables"
"AA05815","Electronics","Electronics Accessories","Cables","Audio & Video Cables","Empty","Electronics > Electronics Accessories > Cables > Audio & Video Cables"
